Term,Hits,NLP_Entity_Hits,NLP_Identifier_Hits
st18,7,,
STK35,7,,
SUPV3L1,7,,
SYNGR2,7,,
TBATA,7,,
TBC1D32,7,,
TBC1D3B,7,,
TBCEL,7,,
TIAF1,7,,
TMCC1,7,,
TMEM258,7,,
tmem259,7,,
TMPRSS9,7,,
TOPAZ1,7,,
TPRXL,7,,
TRAPPC3L,7,,
TSKS,7,,
TXNDC11,7,,
UACA,7,,
UFC1,7,,
UNC13C,7,,
UXS1,7,,
VASH2,7,,
VOPP1,7,,
VWA5A,7,,
WBP1L,7,,
XKR3,7,,
XKRY,7,,
ZAR1,7,,
ZBED5,7,,
ZBTB40,7,,
ZCCHC4,7,,
ZDHHC13,7,,
ZNF232,7,,
ZNF318,7,,
ZNF397,7,,
ZNF516,7,,
ZNF90,7,,
ZRSR2P1,7,,
A0A087WTH5,8,,
A0PJZ3,8,,
A6NDR6,8,,
A6NDS4,8,,
A6NIJ5,8,,
A6NJT0,8,,
A6NKX4,8,,
A8MYJ7,8,,
apotosis,8,,
B7Z8K6,8,,
BNIPL,8,,
C1orf116,8,,
C6orf15,8,,
C9JTQ0,8,,
CABP7,8,,
CAMKV,8,,
CBWD1,8,,
ccdc63,8,,
CDY2A,8,,
CEACAM19,8,,
celf1,8,,
CELF3,8,,
CKAP2L,8,,
CRIM1,8,,
CST9L,8,,
DANCR,8,,
DAZ2,8,,
DAZAP1,8,,
DDX43,8,,
DDX59,8,,
DHRS7B,8,,
DHRS7C,8,,
DHX29,8,,
DHX32,8,,
DIP2C,8,,
DMXL1,8,,
DNAJC5G,8,,
DNHD1,8,,
DONSON,8,,
DPF1,8,,
DPY19L2,8,,
DSCR8,8,,
EID2,8,,
ELMO3,8,,
EMID1,8,,
EML5,8,,
EPB42,8,,
F8A1,8,,
FAM110B,8,,
FAM72A,8,,
FAM86B2,8,,
FAM90A7P,8,,
FAT3,8,,
FBRS,8,,
FBXO34,8,,
FIGNL1,8,,
flowering,8,,
FREM2,8,,
FRRS1,8,,
FSCN3,8,,
FSD1,8,,
GAGE2A,8,,
GGTLC3,8,,
GIMAP8,8,,
GON7,8,,
GPR22,8,,
GPR88,8,,
GPRC5C,8,,
GPRIN3,8,,
GTF2IRD2,8,,
HMGN2P46,8,,
HMGN5,8,,
HSDL2,8,,
IRF2BP1,8,,
KCTD16,8,,
KCTD2,8,,
KIF1BP,8,,
LANCL1,8,,
LCN10,8,,
LGSN,8,,
LINGO4,8,,
MARCKSL1,8,,
MFRP,8,,
MOSPD1,8,,
NAIF1,8,,
Nckap5,8,,
NEMP2,8,,
NLRP11,8,,
NLRP14,8,,
NPIPA1,8,,
NRIP3,8,,
O15034,8,,
O15375,8,,
O15523,8,,
O43745,8,,
O43763,8,,
O43824,8,,
O75095,8,,
O75325,8,,
O77932,8,,
O94898,8,,
O94903,8,,
O95424,8,,
O95897,8,,
OBP2A,8,,
R-HSA-69229,8,,
OVCA2,8,,
p0c2y1,8,,
P0C7Q6,8,,
P0CG08,8,,
P0CJ85,8,,
P0CW23,8,,
P12955,8,,
P28827,8,,
P50539,8,,
P54922,8,,
P57052,8,,
P57073,8,,
P83110,8,,
PAIP2B,8,,
PDIK1L,8,,
PLEKHM1,8,,
PLGLA,8,,
PLIN5,8,,
POPDC3,8,,
ptchd1,8,,
PTX4,8,,
PYROXD2,8,,
Q13275,8,,
Q13474,8,,
Q13522,8,,
Q14520,8,,
Q15198,8,,
Q19T08,8,,
Q1RMZ1,8,,
Q2VWP7,8,,
q32nc0,8,,
Q50LG9,8,,
Q587J8,8,,
Q5T1H1,8,,
Q5T5J6,8,,
Q5T848,8,,
Q5T9S5,8,,
Q5TAB7,8,,
Q6DKJ4,8,,
Q6KCM7,8,,
Q6PII5,8,,
Q6QHK4,8,,
Q6T4R5,8,,
Q6UWP8,8,,
Q6UYE1,8,,
Q6ZNF0,8,,
Q70YC4,8,,
Q7RTV5,8,,
Q7Z5L9,8,,
Q7Z7D3,8,,
Q7Z7L1,8,,
Q86SH2,8,,
Q86TC9,8,,
Q86UE4,8,,
Q86VV8,8,,
Q86VZ6,8,,
Q8IUX7,8,,
Q8IVL0,8,,
Q8IXS0,8,,
Q8IY47,8,,
Q8N1B3,8,,
Q8N1N0,8,,
Q8N1V2,8,,
Q8N4F4,8,,
Q8N4W9,8,,
Q8N539,8,,
Q8N5S1,8,,
Q8N608,8,,
Q8N693,8,,
Q8N808,8,,
Q8N8U9,8,,
Q8N960,8,,
Q8NA70,8,,
Q8NB90,8,,
Q8NDY3,8,,
Q8NG04,8,,
Q8TDY8,8,,
q8wwf8,8,,
Q8WX77,8,,
Q8WXS3,8,,
Q92522,8,,
Q92629,8,,
Q96BJ3,8,,
Q96C19,8,,
Q96CH1,8,,
Q96EV2,8,,
Q96G30,8,,
Q96HU8,8,,
Q96IS3,8,,
Q96NR3,8,,
Q96P09,8,,
Q96PE5,8,,
Q99590,8,,
Q99797,8,,
Q9BPX7,8,,
Q9BQI7,8,,
Q9BT67,8,,
Q9BVA6,8,,
Q9BX74,8,,
Q9BX97,8,,
Q9BYG7,8,,
Q9BZJ4,8,,
Q9C002,8,,
Q9C0A6,8,,
Q9C0B2,8,,
Q9CQ69,8,,
Q9GZN6,8,,
Q9GZZ8,8,,
Q9H1X3,8,,
Q9H3Q1,8,,
Q9H3T2,8,,
Q9H3U7,8,,
Q9H611,8,,
Q9H6S0,8,,
Q9H7B2,8,,
Q9H7E2,8,,
Q9H825,8,,
Q9HD45,8,,
Q9NUQ7,8,,
Q9NW61,8,,
Q9NWB6,8,,
Q9NX95,8,,
q9nxz2,8,,
Q9NZA1,8,,
Q9NZC9,8,,
Q9P0V8,8,,
Q9P243,8,,
Q9P2E8,8,,
Q9UBP9,8,,
Q9UGU0,8,,
Q9UHF7,8,,
Q9UJT0,8,,
Q9UKQ9,8,,
Q9ULC4,8,,
Q9Y2C5,8,,
Q9Y458,8,,
Q9Y4F5,8,,
Q9Y6R7,8,,
RAB11FIP1,8,,
RABL2B,8,,
RASL10A,8,,
REACT_1762,8,,
REACT_22279,8,,
RGS7BP,8,,
RIC8B,8,,
RNASEH2B,8,,
RRAS2,8,,
RRP15,8,,
RTL1,8,,
SCGB3A1,8,,
39692,8,,
SERAC1,8,,
SLC16A11,8,,
SLC25A42,8,,
SLC25A47,8,,
slc39a12,8,,
SPAG11B,8,,
SPATA20,8,,
SPINT3,8,,
SURF2,8,,
TGFBRAP1,8,,
TMEM240,8,,
TMSB15A,8,,
Tspan13,8,,
TSPAN9,8,,
UQCC3,8,,
USP36,8,,
VCY,8,,
VPS11,8,,
WDR59,8,,
ZBTB11,8,,
ZNF444,8,,
A0A0C4DH55,9,,
A0AV47,9,,
A5PKX7,9,,
A6NK75,9,,
A7XYQ1,9,,
A8MPP1,9,,
ASMTL,9,,
ATAD2B,9,,
BHLHE22,9,,
BNP,9,,
BOD1,9,,
C11orf21,9,,
c1ql3,9,,
C3orf35,9,,
CCIN,9,,
CCNL2,9,,
CFAP43,9,,
CGNL1,9,,
CISD3,9,,
COA5,9,,
CRIP2,9,,
CSDC2,9,,
ctdspl,9,,
DDX19B,9,,
DNAAF3,9,,
EGFR1,9,,
EML3,9,,
ENPP5,9,,
EPS8L2,9,,
ERVW-1,9,,
GBGT1,9,,
GPR142,9,,
GPR52,9,,
gprasp1,9,,
Gsx2,9,,
hes4,9,,
HS1BP3,9,,
IGFLR1,9,,
IMMP1L,9,,
ISM2,9,,
JPH3,9,,
KIAA0556,9,,
KLHDC8A,9,,
MAGEA5,9,,
MS4A6A,9,,
O00160,9,,
O15090,9,,
O15194,9,,
P04201,9,,
p04553,9,,
P09543,9,,
P18577,9,,
P19021,9,,
P30414,9,,
P47928,9,,
P48147,9,,
P55899,9,,
P59103,9,,
PCDHB4,9,,
Q03923,9,,
Q05481,9,,
Q0P6H9,9,,
Q13772,9,,
Q14651,9,,
Q16740,9,,
Q3SY17,9,,
Q53H47,9,,
Q6P2I3,9,,
Q6P995,9,,
Q6PIF6,9,,
q6tdu7,9,,
Q6UXF7,9,,
Q86VF7,9,,
Q8NE79,9,,
Q8TC29,9,,
Q92772,9,,
Q92886,9,,
Q96JP9,9,,
Q9BQI4,9,,
Q9BSG5,9,,
Q9C056,9,,
Q9H009,9,,
Q9H857,9,,
Q9NR64,9,,
Q9NX18,9,,
Q9NXL9,9,,
q9p0v9,9,,
Q9P2N5,9,,
Q9UBG3,9,,
Q9UGI8,9,,
Q9UPA5,9,,
Q9Y5I4,9,,
Q9Y614,9,,
R-MMU-156827,9,,
RANBP17,9,,
RAVER2,9,,
rogdi,9,,
RPUSD4,9,,
SHISA9,9,,
SPNS2,9,,
STEAP1,9,,
SUGCT,9,,
TAMM41,9,,
TRUB2,9,,
ubl3,9,,
A3KN83,10,,
ANKZF1,10,,
ARMC10,10,,
ATG2B,10,,
ATP13A3,10,,
BAGE2,10,,
BAIAP3,10,,
BRSK1,10,,
C15orf41,10,,
CFAP44,10,,
EBLN2,10,,
ELMOD1,10,,
enho,10,,
FERMT1,10,,
FNIP1,10,,
GAGE12D,10,,
gcn2,10,,
Immunoregulatory Interactions Between A Lymphoid And A Non Lymphoid Cell,10,,
LMTK2,10,,
O00570,10,,
O94811,10,,
O96001,10,,
p04053,10,,
P15863,10,,
P16116,10,,
P48675,10,,
p55042,10,,
P57076,10,,
PHF21B,10,,
Q06190,10,,
Q6NXE6,10,,
Q70EK9,10,,
Q969V3,10,,
Q9BXM0,10,,
Q9H159,10,,
Q9NQW8,10,,
Q9UBP0,10,,
Q9Y2V3,10,,
REACT_999,10,,
RIMS2,10,,
SALL3,10,,
SCRN1,10,,
SDHAF2,10,,
SLC7A4,10,,
TNP2,10,,
WFDC1,10,,
A0A075B6I1,6,,
A0A087WXS9,6,,
A0A0A0MRZ8,6,,
A0A0A0MT89,6,,
A0A0A6YYC5,6,,
a0a0b4j1v2,6,,
A0A0B4J1V6,6,,
A0A0B4J1X8,6,,
A0A0B4J235,6,,
A0A0B4J263,6,,
A0A0B4J264,6,,
A0A0B4J272,6,,
A0A0B4J274,6,,
A0A0B4J2A2,6,,
A0A0B4J2H0,6,,
A0A0C4DH69,6,,
A0A0G2JS06,6,,
A0A0J9YX35,6,,
A0A0J9YX75,6,,
A0A0K0K1G6,6,,
A0A1B0GVY4,6,,
A0A1B0GWK0,6,,
A0A1B0GX31,6,,
A0A1B0GX68,6,,
A0A1B0GX95,6,,
A1A519,6,,
A1X283,6,,
A2A3L6,6,,
A4D1Z8,6,,
A6NC05,6,,
A6NCN2,6,,
A6NCS6,6,,
A6NDB9,6,,
A6NDV4,6,,
A6NEE1,6,,
A6NER3,6,,
A6NEW6,6,,
A6NFN3,6,,
A6NFY4,6,,
A6NGD5,6,,
A6NI56,6,,
A6NI61,6,,
A6NIR3,6,,
A6NJL1,6,,
a6njq4,6,,
A6NKT7,6,,
A6NMN3,6,,
A6NMS7,6,,
A6NMY6,6,,
A6QL63,6,,
a8k010,6,,
A8MQ11,6,,
A8MQB3,6,,
A8MU46,6,,
A8MUP2,6,,
A8MUU1,6,,
A8MYV0,6,,
A8MYZ0,6,,
A8MZ97,6,,
A8MZH6,6,,
ACP1,6,,
ADGRB2,6,,
adgrg1,6,,
ADGRG5,6,,
anril,6,,
apoe4,6,,
ARFGEF3,6,,
B5ME19,6,,
BORCS8,6,,
C9JBD0,6,,
C9JDP6,6,,
c9jsj3,6,,
CFAP126,6,,
CFAP298,6,,
COA7,6,,
coffein,6,,
CSKMT,6,,
CYREN,6,,
ddias,6,,
E5RQL4,6,,
E7EW31,6,,
E9PB15,6,,
F5H4A9,6,,
fcmr,6,,
G3V211,6,,
GAGE4,6,,
glucolisis,6,,
glycolyse,6,,
H3BQB6,6,,
H3BQW9,6,,
H3BUK9,6,,
HGFR,6,,
K7EJ46,6,,
LHFPL6,6,,
limonene,6,,
LRIG2,6,,
LRRC37B,6,,
LRRC52,6,,
LRRCC1,6,,
LY6G5B,6,,
LYRM1,6,,
M0QZC1,6,,
40603,6,,
39873,6,,
MDFIC,6,,
MEGF11,6,,
METTL8,6,,
MFSD2B,6,,
MGEA5,6,,
MHC1,6,,
MHCI,6,,
MMP26,6,,
mmu,6,,
MMUT,6,,
MPP4,6,,
MPPE1,6,,
MS4A4E,6,,
MS4A8,6,,
Mxd4,6,,
MYCLP1,6,,
MYEOV,6,,
NACA2,6,,
narp,6,,
NBPF12,6,,
NBPF14,6,,
NDRG3,6,,
NIPSNAP3A,6,,
NLE1,6,,
NPNT,6,,
NPY6R,6,,
NRROS,6,,
NUDT6,6,,
NXPE4,6,,
O00151,6,,
O00178,6,,
O00479,6,,
O00515,6,,
O14682,6,,
O15037,6,,
O43283,6,,
O43423,6,,
O60281,6,,
O60290,6,,
o60303,6,,
O60478,6,,
O71037,6,,
O75132,6,,
O75264,6,,
O75298,6,,
O75366,6,,
O75879,6,,
O75920,6,,
O75949,6,,
O75973,6,,
O88628,6,,
O94880,6,,
O95157,6,,
O95389,6,,
O95455,6,,
O95747,6,,
o95825,6,,
O95857,6,,
OC90,6,,
OPRPN,6,,
OSGIN2,6,,
OTOS,6,,
OTUD1,6,,
P05204,6,,
P08910,6,,
P0C7M6,6,,
P0C7Q2,6,,
P0C7T7,6,,
P0C7V9,6,,
P0C7X1,6,,
P0CG33,6,,
P0CG40,6,,
P0CG41,6,,
P0CG42,6,,
P0CV99,6,,
P0DJG4,6,,
P0DMB2,6,,
P0DN24,6,,
P0DPA3,6,,
P10114,6,,
p11117,6,,
P13994,6,,
P14616,6,,
P15812,6,,
P17041,6,,
P22492,6,,
P26378,6,,
P26436,6,,
P28356,6,,
P31270,6,,
P31995,6,,
P36776,6,,
P38935,6,,
P41567,6,,
P48052,6,,
P48539,6,,
P49754,6,,
p49863,6,,
P50238,6,,
P51504,6,,
P51522,6,,
P54851,6,,
P57737,6,,
P58557,6,,
P59036,6,,
P60002,6,,
P60153,6,,
P61236,6,,
P61566,6,,
P61568,6,,
P62341,6,,
P62897,6,,
P69849,6,,
P78312,6,,
P80723,6,,
P83105,6,,
P84550,6,,
PAPLN,6,,
PAPOLB,6,,
PBOV1,6,,
PCDHA2,6,,
PCDHA5,6,,
PCDHB11,6,,
PCDHB2,6,,
PCDHGB4,6,,
PCDHGC4,6,,
PDGFRL,6,,
piezo,6,,
PMS2P1,6,,
PNISR,6,,
POMZP3,6,,
POTEA,6,,
POTED,6,,
PPP1R1A,6,,
PPP2R4,6,,
PRB4,6,,
PTCD2,6,,
PUS10,6,,
PXK,6,,
Q00LT1,6,,
Q01534,6,,
Q02575,6,,
Q03828,6,,
Q03924,6,,
Q05C16,6,,
Q07444,6,,
Q07507,6,,
Q08257,6,,
Q0D2I5,6,,
Q0IIN9,6,,
Q0P651,6,,
Q0P6D2,6,,
Q0P6D6,6,,
Q0VDD5,6,,
Q0VDG4,6,,
Q12870,6,,
Q12872,6,,
Q13886,6,,
Q14236,6,,
Q14549,6,,
q14558,6,,
Q14602,6,,
Q14699,6,,
Q15053,6,,
q15124,6,,
Q15155,6,,
Q15649,6,,
Q15650,6,,
Q16048,6,,
q16352,6,,
Q16384,6,,
Q16559,6,,
Q16600,6,,
Q16676,6,,
Q1W209,6,,
Q1W4C9,6,,
Q1X8D7,6,,
Q1ZZU3,6,,
Q2M2D7,6,,
Q2M2H8,6,,
Q2M329,6,,
Q2M389,6,,
Q2QL34,6,,
Q2TAK8,6,,
Q2TAZ0,6,,
Q2TBA0,6,,
Q2VWA4,6,,
Q3B7I2,6,,
Q3KRA9,6,,
Q3MIW9,6,,
Q3SYB3,6,,
Q3YBM2,6,,
Q495X7,6,,
Q49A33,6,,
Q4G0S4,6,,
q4g0u5,6,,
Q4G0W2,6,,
Q4G1C9,6,,
Q504Y2,6,,
Q52M58,6,,
Q538Z0,6,,
Q53QV2,6,,
Q53S58,6,,
Q569K4,6,,
Q56A73,6,,
Q58FF7,6,,
Q5BJE1,6,,
Q5BKY9,6,,
Q5DID0,6,,
Q5H9M0,6,,
Q5H9T9,6,,
Q5I0G3,6,,
Q5JR98,6,,
Q5JT82,6,,
Q5JTY5,6,,
Q5JX69,6,,
Q5M775,6,,
Q5M7Z0,6,,
Q5SVJ3,6,,
Q5SVZ6,6,,
Q5SWX8,6,,
Q5SXM8,6,,
Q5SZI1,6,,
Q5SZJ8,6,,
Q5T035,6,,
Q5T0F9,6,,
Q5T0N1,6,,
Q5T0U0,6,,
Q5T1A1,6,,
Q5T1N1,6,,
Q5T4F7,6,,
Q5T4I8,6,,
Q5T6F0,6,,
Q5T742,6,,
Q5T9C9,6,,
Q5TEA3,6,,
Q5U649,6,,
Q5VT40,6,,
Q5VT99,6,,
Q5VTM2,6,,
Q5VTQ0,6,,
Q5VVW2,6,,
q5vwp2,6,,
q5vzb9,6,,
Q5VZI3,6,,
Q62904,6,,
Q63081,6,,
q641q3,6,,
Q64ET8,6,,
Q68D20,6,,
Q68DH5,6,,
Q68DU8,6,,
Q68DX3,6,,
Q69383,6,,
Q69YU3,6,,
Q6DWJ6,6,,
Q6GTS8,6,,
Q6GV28,6,,
Q6GYQ0,6,,
Q6ICL3,6,,
Q6JVE9,6,,
Q6NSI1,6,,
q6nsi3,6,,
Q6NSI8,6,,
Q6NSJ0,6,,
Q6NT89,6,,
Q6NXP6,6,,
Q6NXR4,6,,
Q6NY19,6,,
Q6P158,6,,
Q6P1K8,6,,
Q6P2D8,6,,
Q6P3X3,6,,
Q6P3X8,6,,
Q6PB30,6,,
Q6PIY7,6,,
Q6PK18,6,,
Q6PP77,6,,
Q6Q4G3,6,,
Q6QNK2,6,,
Q6RUI8,6,,
Q6T423,6,,
Q6UB28,6,,
Q6UW49,6,,
Q6UW56,6,,
Q6UWE3,6,,
Q6UWK7,6,,
Q6UWT2,6,,
Q6UWW9,6,,
q6uwy2,6,,
Q6UX01,6,,
Q6UXG2,6,,
Q6UXR4,6,,
Q6UY18,6,,
Q6W349,6,,
Q6X4U4,6,,
Q6XYB7,6,,
Q6YN16,6,,
Q6ZMI3,6,,
Q6ZMY3,6,,
Q6ZN04,6,,
Q6ZN54,6,,
Q6ZNA5,6,,
Q6ZNB6,6,,
Q6ZNW5,6,,
Q6ZP98,6,,
Q6ZPD9,6,,
q6zrf8,6,,
Q6ZRP0,6,,
Q6ZRS4,6,,
Q6ZTI6,6,,
Q6ZUB0,6,,
Q6ZV56,6,,
Q6ZW13,6,,
Q6ZWJ1,6,,
Q70EL3,6,,
Q711Q0,6,,
Q71H61,6,,
Q75LS8,6,,
Q76I76,6,,
Q76NI1,6,,
Q7L985,6,,
Q7RTS9,6,,
Q7RTU0,6,,
Q7RTU1,6,,
Q7RTV3,6,,
Q7Z3E1,6,,
Q7Z3U7,6,,
Q7Z4M0,6,,
Q7Z4W2,6,,
q7z5l0,6,,
Q7Z601,6,,
Q7Z602,6,,
Q7Z6C1,6,,
Q7Z6W7,6,,
Q86SQ4,6,,
Q86T20,6,,
Q86TD4,6,,
Q86TM3,6,,
Q86UD3,6,,
Q86UW7,6,,
Q86VD1,6,,
Q86W25,6,,
Q86W50,6,,
Q86WD7,6,,
Q86WS3,6,,
Q86X45,6,,
Q86X76,6,,
Q86XK7,6,,
Q86YD1,6,,
Q86YD5,6,,
Q86YJ5,6,,
Q86YQ8,6,,
Q86YR7,6,,
Q86YV5,6,,
Q8IU81,6,,
Q8IUD2,6,,
Q8IUF1,6,,
Q8IUG5,6,,
Q8IUR5,6,,
Q8IV13,6,,
Q8IV32,6,,
Q8IV45,6,,
Q8IVL8,6,,
Q8IVM7,6,,
Q8IW03,6,,
Q8IWB6,6,,
Q8IWB9,6,,
Q8IWU6,6,,
Q8IWZ3,6,,
Q8IX21,6,,
Q8IXB3,6,,
Q8IY84,6,,
Q8IYA2,6,,
Q8IYG6,6,,
Q8IYR6,6,,
Q8IYT1,6,,
Q8IYT3,6,,
Q8IZ81,6,,
Q8IZF7,6,,
Q8IZJ3,6,,
Q8IZL9,6,,
Q8IZN3,6,,
Q8IZU2,6,,
Q8N0X2,6,,
Q8N0Y7,6,,
Q8N1G1,6,,
Q8N2E2,6,,
Q8N2I9,6,,
Q8N2R8,6,,
Q8N2U0,6,,
Q8N2Y8,6,,
Q8N309,6,,
q8n336,6,,
Q8N344,6,,
Q8N3S3,6,,
Q8N412,6,,
Q8N4C9,6,,
Q8N4P6,6,,
Q8N4W6,6,,
Q8N573,6,,
Q8N5C6,6,,
Q8N5L8,6,,
q8n5q1,6,,
Q8N6C7,6,,
Q8N6G1,6,,
Q8N6G2,6,,
Q8N6M0,6,,
Q8N6Q8,6,,
Q8N6S4,6,,
Q8N7C7,6,,
q8n7x0,6,,
Q8N819,6,,
Q8N8A8,6,,
Q8N8F6,6,,
Q8N8F7,6,,
Q8N8I0,6,,
Q8N8L2,6,,
Q8N8R5,6,,
Q8N910,6,,
Q8N957,6,,
Q8N967,6,,
Q8N9B4,6,,
Q8N9H8,6,,
Q8N9H9,6,,
Q8N9L1,6,,
Q8N9N7,6,,
Q8N9R6,6,,
Q8N9Z9,6,,
Q8NBA8,6,,
Q8NCU4,6,,
Q8NCV1,6,,
q8nd94,6,,
Q8NDB2,6,,
Q8NDD1,6,,
Q8NDY4,6,,
Q8NEE8,6,,
Q8NEG4,6,,
Q8NEG5,6,,
Q8NF99,6,,
Q8NHK3,6,,
Q8NHS2,6,,
Q8NHV1,6,,
Q8TAL6,6,,
Q8TAY7,6,,
Q8TB22,6,,
Q8TB68,6,,
Q8TC36,6,,
Q8TCY5,6,,
Q8TD26,6,,
Q8TDC3,6,,
Q8TDF5,6,,
Q8TDG2,6,,
Q8TDM0,6,,
Q8TDR2,6,,
Q8TDS7,6,,
Q8TDV2,6,,
Q8TDW4,6,,
Q8TDX9,6,,
Q8TDY3,6,,
Q8TE99,6,,
Q8TEE9,6,,
Q8TEQ0,6,,
Q8TF01,6,,
Q8WU76,6,,
Q8WUF8,6,,
Q8WV07,6,,
Q8WVH0,6,,
Q8WVZ1,6,,
Q8WVZ7,6,,
Q8WW32,6,,
Q8WWK9,6,,
Q8WWR9,6,,
Q8WXH2,6,,
Q8WXQ8,6,,
Q8WYK1,6,,
Q8WYN3,6,,
Q8WZ69,6,,
Q92484,6,,
Q92485,6,,
Q92543,6,,
Q92832,6,,
Q92874,6,,
Q969X0,6,,
Q96A19,6,,
Q96AK3,6,,
Q96BQ3,6,,
Q96C34,6,,
Q96C90,6,,
Q96CM3,6,,
Q96CN7,6,,
Q96CT7,6,,
Q96DB9,6,,
Q96DT0,6,,
Q96E09,6,,
Q96EE4,6,,
Q96EH8,6,,
Q96EX2,6,,
Q96F63,6,,
Q96GP6,6,,
Q96GR4,6,,
q96ha7,6,,
q96hh4,6,,
Q96IL0,6,,
Q96J77,6,,
Q96JC1,6,,
Q96JG6,6,,
Q96JJ6,6,,
Q96K78,6,,
Q96KC8,6,,
Q96KJ9,6,,
Q96L11,6,,
Q96LB0,6,,
Q96LD4,6,,
Q96LL4,6,,
Q96LW9,6,,
Q96LY2,6,,
Q96M53,6,,
Q96M98,6,,
Q96MD7,6,,
Q96MF4,6,,
Q96MH7,6,,
Q96MT1,6,,
Q96MZ4,6,,
Q96N95,6,,
Q96NF6,6,,
Q96NL8,6,,
Q96PU9,6,,
Q96Q06,6,,
Q96QS1,6,,
Q96RQ1,6,,
Q96RY5,6,,
Q96S15,6,,
Q96S86,6,,
Q96S94,6,,
Q96SC8,6,,
Q96SK2,6,,
Q96SL8,6,,
Q96T59,6,,
Q99929,6,,
Q99946,6,,
Q9BQ49,6,,
Q9BQN1,6,,
Q9BQW3,6,,
Q9BRQ4,6,,
Q9BSK0,6,,
Q9BT73,6,,
Q9BTV5,6,,
Q9BUB7,6,,
Q9BUL5,6,,
Q9BUT9,6,,
Q9BVV6,6,,
Q9BWE0,6,,
Q9BWV2,6,,
Q9BXA9,6,,
Q9BXF6,6,,
Q9BXL6,6,,
Q9BXU1,6,,
Q9BXU2,6,,
Q9BXY0,6,,
Q9BY79,6,,
Q9BZ81,6,,
Q9BZA0,6,,
Q9C099,6,,
Q9C0H6,6,,
Q9GZM3,6,,
Q9GZN0,6,,
Q9GZN1,6,,
Q9H089,6,,
Q9H098,6,,
Q9H0I3,6,,
Q9H213,6,,
Q9H269,6,,
Q9H2G2,6,,
Q9H2R5,6,,
Q9H2U9,6,,
Q9H321,6,,
Q9H425,6,,
Q9H4Q4,6,,
Q9H4S2,6,,
Q9H4Z3,6,,
q9h511,6,,
Q9H582,6,,
Q9H5Z1,6,,
Q9H665,6,,
Q9H6E4,6,,
q9h714,6,,
Q9H777,6,,
Q9H7B7,6,,
Q9H7X2,6,,
Q9H808,6,,
Q9H8X9,6,,
Q9H977,6,,
Q9HAH7,6,,
Q9HBJ7,6,,
Q9HBU9,6,,
Q9HC38,6,,
Q9HC57,6,,
Q9HCJ5,6,,
Q9HCP0,6,,
Q9JIM0,6,,
Q9NQ03,6,,
Q9NQ89,6,,
Q9NQR7,6,,
Q9NQV6,6,,
Q9NQV8,6,,
Q9NQZ6,6,,
Q9NRY2,6,,
Q9NS25,6,,
Q9NSG2,6,,
Q9NSY1,6,,
Q9NTG1,6,,
Q9NTX5,6,,
Q9NVM6,6,,
Q9NVV0,6,,
Q9NVX7,6,,
Q9NW07,6,,
Q9NWL6,6,,
Q9NX31,6,,
Q9NX38,6,,
Q9NXC2,6,,
Q9NXH3,6,,
Q9NXS3,6,,
Q9NXV6,6,,
Q9NYC9,6,,
Q9NYL4,6,,
Q9NYP8,6,,
Q9NZH4,6,,
Q9NZI6,6,,
Q9NZM6,6,,
Q9NZQ0,6,,
Q9P003,6,,
Q9P0W8,6,,
Q9P1J3,6,,
Q9P1T7,6,,
Q9P1W9,6,,
Q9P273,6,,
Q9P2C4,6,,
Q9P2S5,6,,
Q9P2X3,6,,
Q9UBI4,6,,
Q9UEE5,6,,
Q9UFP1,6,,
Q9UIF8,6,,
Q9UJJ7,6,,
Q9UJW7,6,,
Q9UK23,6,,
Q9UK61,6,,
Q9UKZ4,6,,
Q9UL36,6,,
Q9UL68,6,,
Q9ULA0,6,,
Q9ULE0,6,,
Q9ULE4,6,,
Q9ULJ6,6,,
Q9ULW6,6,,
Q9UMR2,6,,
Q9UNZ5,6,,
Q9UPS8,6,,
Q9UPW8,6,,
Q9Y2D1,6,,
Q9Y2G9,6,,
Q9Y2I8,6,,
Q9Y2U9,6,,
Q9Y388,6,,
Q9Y3B8,6,,
Q9Y485,6,,
Q9Y493,6,,
Q9Y5E2,6,,
Q9Y5F3,6,,
Q9Y5G1,6,,
Q9Y5G9,6,,
Q9Y5R6,6,,
q9y5w7,6,,
Q9Y5W8,6,,
Q9Y603,6,,
Q9Y608,6,,
Q9Y615,6,,
Q9Y693,6,,
Q9Y6R0,6,,
Q9Y6U3,6,,
Q9Y6U7,6,,
RASD2,6,,
REXO2,6,,
RFTN1,6,,
RFXAP,6,,
RHCE,6,,
RIMBP2,6,,
ROPN1L,6,,
RSL24D1,6,,
RTBDN,6,,
SAA4,6,,
SERF1A,6,,
SERF2,6,,
SHISA3,6,,
SLC25A53,6,,
SLC7A13,6,,
SPATC1,6,,
SPIB,6,,
SPIN2A,6,,
STPG1,6,,
SUSD2,6,,
SYNGR4,6,,
SYNRG,6,,
TAGLN3,6,,
tanc1,6,,
TBL2,6,,
TENT5C,6,,
TEX13B,6,,
THAP5,6,,
THEM6,6,,
THUMPD2,6,,
TIMM29,6,,
TMEM174,6,,
TMEM183B,6,,
TMEM214,6,,
TMPRSS11A,6,,
TRAM2,6,,
TRDC,6,,
TRGC1,6,,
TRUB1,6,,
TSPYL1,6,,
TSSK2,6,,
UBR7,6,,
UNC45A,6,,
VEPH1,6,,
VPS16,6,,
VPS26B,6,,
WDR63,6,,
YPEL4,6,,
